dataset,filename,label
Daphnet,S01R02E0.test.csv@4.out,LOF
Daphnet,S02R01E0.test.csv@3.out,HBOS
Daphnet,S03R01E1.test.csv@2.out,POLY
Daphnet,S03R01E1.test.csv@4.out,POLY
Daphnet,S03R01E1.test.csv@7.out,POLY
Daphnet,S03R02E0.test.csv@1.out,HBOS
Daphnet,S03R03E4.test.csv@2.out,HBOS
Daphnet,S03R03E4.test.csv@3.out,LOF
Daphnet,S03R03E4.test.csv@6.out,POLY
Daphnet,S08R01E0.test.csv@4.out,MP
Daphnet,S09R01E0.test.csv@5.out,LOF
Daphnet,S09R01E2.test.csv@8.out,LOF
Daphnet,S09R01E4.test.csv@3.out,LOF
ECG,MBA_ECG14046_data_17.out,NORMA
ECG,MBA_ECG14046_data_29.out,NORMA
ECG,MBA_ECG14046_data_32.out,NORMA
ECG,MBA_ECG14046_data_33.out,NORMA
ECG,MBA_ECG14046_data_6.out,PCA
ECG,MBA_ECG14046_data_7.out,NORMA
ECG,MBA_ECG806_data.out,NORMA
ECG,MBA_ECG820_data.out,NORMA
GHL,01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@4.out,HBOS
GHL,01_Lev_fault_Temp_corr_seed_11_vars_23.test.csv@8.out,IFOREST1
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@10.out,IFOREST1
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@2.out,IFOREST1
GHL,02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@4.out,HBOS
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@10.out,IFOREST1
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@2.out,HBOS
GHL,03_Lev_fault_Temp_corr_seed_19_vars_23.test.csv@4.out,HBOS
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@2.out,HBOS
GHL,04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@8.out,IFOREST1
GHL,05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@13.out,HBOS
GHL,05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@4.out,HBOS
GHL,07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@10.out,IFOREST1
GHL,07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@4.out,HBOS
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@4.out,HBOS
GHL,08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@8.out,IFOREST1
GHL,09_Lev_fault_Temp_corr_seed_37_vars_23.test.csv@13.out,OCSVM
GHL,10_Lev_fault_Temp_corr_seed_39_vars_23.test.csv@4.out,HBOS
GHL,11_Lev_fault_Temp_corr_seed_41_vars_23.test.csv@1.out,POLY
GHL,11_Lev_fault_Temp_corr_seed_41_vars_23.test.csv@10.out,IFOREST1
GHL,11_Lev_fault_Temp_corr_seed_41_vars_23.test.csv@4.out,HBOS
GHL,12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@13.out,HBOS
GHL,13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@8.out,IFOREST1
GHL,14_Lev_fault_Temp_corr_seed_47_vars_23.test.csv@4.out,HBOS
GHL,15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@10.out,IFOREST1
GHL,15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@4.out,HBOS
GHL,16_Lev_fault_Temp_corr_seed_53_vars_23.test.csv@2.out,PCA
GHL,20_Lev_fault_Temp_corr_seed_67_vars_23.test.csv@2.out,HBOS
GHL,22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@10.out,IFOREST1
GHL,22_Lev_fault_Temp_corr_seed_777_vars_23.test.csv@16.out,MP
GHL,34_Lev_corr_Temp_fault_seed_151_vars_23.test.csv@13.out,HBOS
GHL,35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@1.out,MP
GHL,35_Lev_corr_Temp_fault_seed_153_vars_23.test.csv@12.out,MP
GHL,37_Lev_corr_Temp_fault_seed_163_vars_23.test.csv@7.out,MP
GHL,38_Lev_corr_Temp_fault_seed_166_vars_23.test.csv@13.out,HBOS
GHL,40_Lev_corr_Temp_fault_seed_180_vars_23.test.csv@3.out,NORMA
GHL,48_Lev_corr_Temp_fault_seed_199_vars_23.test.csv@3.out,IFOREST1
Genesis,genesis-anomalies.test.csv@1.out,POLY
IOPS,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.train.out,POLY
IOPS,KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.train.out,LSTM
IOPS,KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,IFOREST1
IOPS,KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,POLY
IOPS,KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,IFOREST
IOPS,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,IFOREST1
IOPS,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train.out,IFOREST1
IOPS,KPI-57051487-3a40-3828-9084-a12f7f23ee38.test.out,IFOREST1
IOPS,KPI-57051487-3a40-3828-9084-a12f7f23ee38.train.out,IFOREST1
IOPS,KPI-6d1114ae-be04-3c46-b5aa-be1a003a57cd.test.out,POLY
IOPS,KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.train.out,PCA
IOPS,KPI-7103fa0f-cac4-314f-addc-866190247439.train.out,IFOREST1
IOPS,KPI-847e8ecc-f8d2-3a93-9107-f367a0aab37d.test.out,POLY
IOPS,KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,POLY
IOPS,KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,PCA
IOPS,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train.out,LSTM
IOPS,KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.train.out,IFOREST1
KDD21,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.out,CNN
KDD21,012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.out,LOF
KDD21,013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.out,NORMA
KDD21,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.out,NORMA
KDD21,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.out,NORMA
KDD21,028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.out,LOF
KDD21,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,NORMA
KDD21,038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.out,NORMA
KDD21,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.out,PCA
KDD21,040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.out,NORMA
KDD21,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420.out,NORMA
KDD21,049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.out,LOF
KDD21,057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100.out,LOF
KDD21,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.out,LOF
KDD21,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558.out,NORMA
KDD21,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800.out,NORMA
KDD21,072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.out,NORMA
KDD21,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,LSTM
KDD21,086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.out,MP
KDD21,087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.out,NORMA
KDD21,093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.out,PCA
KDD21,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,NORMA
KDD21,095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.out,LOF
KDD21,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.out,NORMA
KDD21,101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520.out,NORMA
KDD21,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100.out,LOF
KDD21,105_UCR_Anomaly_NOISEgait3_24500_59900_60500.out,LOF
KDD21,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.out,LOF
KDD21,113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.out,CNN
KDD21,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597.out,LOF
KDD21,119_UCR_Anomaly_ECG1_10000_11800_12100.out,LOF
KDD21,120_UCR_Anomaly_ECG2_15000_16000_16100.out,LOF
KDD21,131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716.out,NORMA
KDD21,138_UCR_Anomaly_InternalBleeding19_3000_4187_4197.out,NORMA
KDD21,140_UCR_Anomaly_InternalBleeding4_1000_4675_5033.out,NORMA
KDD21,141_UCR_Anomaly_InternalBleeding5_4000_6200_6370.out,NORMA
KDD21,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,NORMA
KDD21,144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,MP
KDD21,148_UCR_Anomaly_Lab2Cmac011215EPG4_6000_17390_17520.out,NORMA
KDD21,153_UCR_Anomaly_PowerDemand2_14000_23357_23717.out,OCSVM
KDD21,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995.out,OCSVM
KDD21,164_UCR_Anomaly_apneaecg3_5000_11111_11211.out,LOF
KDD21,166_UCR_Anomaly_apneaecg_10000_12240_12308.out,LOF
KDD21,169_UCR_Anomaly_gait3_24500_59900_60500.out,OCSVM
KDD21,170_UCR_Anomaly_gaitHunt1_18500_33070_33180.out,LOF
KDD21,173_UCR_Anomaly_insectEPG1_3000_7000_7030.out,MP
KDD21,176_UCR_Anomaly_insectEPG4_1300_6508_6558.out,LOF
KDD21,177_UCR_Anomaly_insectEPG5_3200_8500_8501.out,POLY
KDD21,178_UCR_Anomaly_ltstdbs30791AI_17555_52600_52800.out,NORMA
KDD21,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800.out,NORMA
KDD21,183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800.out,NORMA
KDD21,192_UCR_Anomaly_s20101mML2_12000_35774_35874.out,NORMA
KDD21,197_UCR_Anomaly_tiltAPB1_100000_114283_114350.out,NORMA
KDD21,199_UCR_Anomaly_tiltAPB3_40000_114000_114370.out,MP
KDD21,206_UCR_Anomaly_CHARISten_25130_29080_29140.out,LOF
KDD21,208_UCR_Anomaly_CHARISten_5130_27929_27989.out,NORMA
KDD21,209_UCR_Anomaly_Fantasia_19000_26970_27270.out,LOF
KDD21,214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,LOF
KDD21,216_UCR_Anomaly_STAFFIIIDatabase_37216_160720_161370.out,LOF
KDD21,219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.out,LOF
KDD21,220_UCR_Anomaly_STAFFIIIDatabase_43217_250720_251370.out,LOF
